word	jacc
базар	14
буханка	7
винчестер	6
гнездо	4
голубой	16
гуманист	1
дурь	4
жесть	7
канал	9
карта	7
классный	2
климат	11
корочка	12
корпорация	5
крыша	12
лагерь	10
левый	20
мерин	16
мышка	11
мышь	13
наезд	2
нелицеприятный	1
откровенный	5
пакет	9
парусиновый	13
платформа	10
подписчик	3
развод	2
раздача	14
сообщение	18
страница	21
стрелка	9
талон	1
товарищ	9
трико	8
тюфяк	16
убитый	26
ударник	0
узел	6
фрукт	12
хлопья	12
шляпка	9
артист	15
бархатный	11
беззаботный	18
безысходный	17
беспомощный	11
благодарность	19
бритый	21
бровь	19
брошюра	19
бумага	21
бурьян	12
вена	13
вечер	28
владение	12
возмущение	16
выгодный	20
выстрел	23
география	20
гипотеза	15
гнетущий	13
голубоглазый	18
гость	13
граница	18
гроб	14
девица	14
демонстрация	19
должный	20
драматург	4
дрожь	22
жизнерадостный	17
жилистый	14
заметный	17
знакомый	10
идеализм	24
искусство	20
каморка	20
карета	14
кипа	11
коляска	18
композитор	10
концерт	14
конный	13
коренастый	21
кофе	20
кухня	18
лавка	17
ленточка	15
лето	21
луна	17
мармелад	15
морозный	26
мох	10
муж	23
небольшой	23
невнятный	19
ненависть	19
необыкновенный	21
неодолимый	21
неприличный	13
обеспечение	16
обоснование	12
обычай	19
огненный	9
ожидание	14
омерзение	4
очерк	18
пальто	18
песнопение	4
пламень	4
платье	19
плеск	16
подоконник	20
пол	12
последствие	14
похороны	16
предисловие	21
приданое	16
приказание	25
прихожая	20
прозрачный	7
психический	16
пуля	22
радость	24
разный	11
религия	18
роза	10
рокот	23
ситцевый	12
сизый	20
скамейка	23
скверный	15
собственность	15
солдат	20
солома	10
сострадание	11
статный	17
стол	31
страх	18
стул	25
тахта	8
телега	28
теоретический	13
торговец	18
тоскливый	9
тревожный	19
трудный	28
тьма	18
убедительность	14
убеждение	13
убийство	22
удивление	24
ужас	25
указ	20
унизительный	9
уплата	22
устав	16
усталость	15
утро	25
фигурка	6
хмурый	17
хохот	25
число	11
эвакуация	10
