word	1	2	3	4	5	6	7	8	9
базар	0.482449	0.617959	0.6	0.588571	0.604898	0.613061	0.611429	0.657143	0.639184
буханка	0.435102	0.456327	0.49551	0.644082	0.652245	0.72898	0.753469	0.763265	0.712653
винчестер	0.635918	0.446531	0.665306	0.554286	0.781224	0.671837	0.68	0.782857	0.683265
гнездо	0.918367	0.671837	0.653878	0.611429	0.617959	0.609796	0.652245	0.719184	0.583673
голубой	0.423673	0.466122	0.503673	0.715918	0.658776	0.666939	0.609796	0.653878	0.686531
гуманист	0.980408	0.239184	0.413878	0.6	0.675102	0.627755	0.73551	0.76	0.712653
дурь	0.55102	0.629388	0.593469	0.534694	0.508571	0.451429	0.697959	0.38449	0.611429
жесть	0.748571	0.472653	0.435102	0.536327	0.461224	0.598367	0.531429	0.714286	0.678367
канал	0.635918	0.582041	0.307755	0.547755	0.6	0.671837	0.627755	0.511837	0.621224
карта	0.689796	0.603265	0.469388	0.485714	0.640816	0.555918	0.635918	0.505306	0.684898
классный	0.591837	0.632653	0.555918	0.614694	0.591837	0.534694	0.629388	0.52	0.428571
климат	0.634286	0.727347	0.353469	0.595102	0.479184	0.474286	0.562449	0.748571	0.572245
корочка	0.467755	0.474286	0.555918	0.617959	0.629388	0.559184	0.668571	0.71102	0.658776
корпорация	0.528163	0.564082	0.49551	0.658776	0.668571	0.637551	0.482449	0.446531	0.500408
крыша	0.387755	0.526531	0.557551	0.657143	0.666939	0.689796	0.65551	0.56898	0.528163
лагерь	0.564082	0.591837	0.617959	0.533061	0.449796	0.62449	0.570612	0.588571	0.593469
левый	0.562449	0.387755	0.635918	0.400816	0.603265	0.663673	0.820408	0.714286	0.557551
мерин	0.673469	0.52	0.640816	0.660408	0.697959	0.657143	0.745306	0.761633	0.758367
мышка	0.62449	0.433469	0.472653	0.885714	0.534694	0.562449	0.38449	0.466122	0.441633
мышь	0.65551	0.444898	0.506939	0.493878	0.604898	0.590204	0.583673	0.529796	0.49551
наезд	0.746939	0.657143	0.652245	0.632653	0.621224	0.653878	0.498776	0.616327	0.750204
нелицеприятный	0.732245	0.539592	0.626122	0.663673	0.448163	0.518367	0.663673	0.564082	0.565714
